user_id,day,start_time,end_time,room_type,spatial_context,activity,social_context,num_people_around,num_animals_around,group_radius,distance_of_people,human_response
0824dd45-eaf9-429d-9a9b-61af94b11424,1,6AM,7AM,bedroom,home,getting_out_of_bed,with pets,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,7AM,8AM,bathroom,home,taking_medication,with caregiver,1,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,8AM,9AM,kitchen,home,breakfast,with family,2,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,9AM,10AM,living_room,home,reading,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,10AM,11AM,living_room,home,listening_to_music,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,11AM,12PM,garden,backyard,walking,with caregiver,1,0,sparse,sparse,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,12PM,1PM,dining_room,home,lunch,with family,3,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,1PM,2PM,living_room,home,watching_tv,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,2PM,3PM,living_room,home,petting_an_animal,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,3PM,4PM,living_room,home,conversing,with family,3,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,4PM,5PM,laundry_room,home,laundry,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,5PM,6PM,kitchen,home,kitchen_cleaning,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,6PM,7PM,dining_room,home,dinner,with family,3,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,7PM,8PM,living_room,home,watching_tv,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,8PM,9PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,9PM,10PM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,10PM,11PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,11PM,12AM,bedroom,home,sleeping_and_waking_up,alone,0,0,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,1,12AM,6AM,bedroom,home,sleeping,alone,0,0,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,6AM,7AM,bedroom,home,getting_out_of_bed,with pets,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,7AM,8AM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,8AM,9AM,kitchen,home,breakfast,with family,2,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,9AM,10AM,living_room,home,reading,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,10AM,11AM,living_room,home,listening_to_music,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,11AM,12PM,garden,backyard,walking,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,12PM,1PM,dining_room,home,lunch,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,1PM,2PM,living_room,home,watching_tv,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,2PM,3PM,living_room,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,3PM,4PM,balcony,home,drinking_coffee,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,4PM,5PM,garden,backyard,gardening,with pets,0,2,clustered,clustered,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,5PM,6PM,kitchen,home,kitchen_cleaning,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,6PM,7PM,dining_room,home,dinner,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,7PM,8PM,living_room,home,socializing,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,9PM,10PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,10PM,11PM,bathroom,home,showering,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,11PM,12AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,2,12AM,6AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,6AM,7AM,bedroom,home,getting_out_of_bed,with pets,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,7AM,8AM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,8AM,9AM,kitchen,home,breakfast,with family,2,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,9AM,10AM,living_room,home,reading,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,10AM,11AM,living_room,home,listening_to_music,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,11AM,12PM,garden,backyard,walking,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,12PM,1PM,dining_room,home,lunch,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,1PM,2PM,living_room,home,watching_tv,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,2PM,3PM,living_room,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,3PM,4PM,balcony,home,drinking_coffee,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,4PM,5PM,garden,backyard,gardening,with pets,0,2,clustered,clustered,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,5PM,6PM,kitchen,home,kitchen_cleaning,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,6PM,7PM,dining_room,home,dinner,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,7PM,8PM,living_room,home,socializing,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,9PM,10PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,10PM,11PM,bathroom,home,showering,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,11PM,12AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,3,12AM,6AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,6AM,7AM,bedroom,home,getting_out_of_bed,with pets,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,7AM,8AM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,8AM,9AM,kitchen,home,breakfast,with family,2,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,9AM,10AM,living_room,home,reading,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,10AM,11AM,living_room,home,listening_to_music,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,11AM,12PM,garden,backyard,walking,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,12PM,1PM,dining_room,home,lunch,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,1PM,2PM,living_room,home,watching_tv,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,2PM,3PM,living_room,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,3PM,4PM,balcony,home,drinking_coffee,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,4PM,5PM,garden,backyard,gardening,with pets,0,2,clustered,clustered,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,5PM,6PM,kitchen,home,kitchen_cleaning,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,6PM,7PM,dining_room,home,dinner,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,7PM,8PM,living_room,home,socializing,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,9PM,10PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,10PM,11PM,bathroom,home,showering,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,11PM,12AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,4,12AM,6AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,6AM,7AM,bedroom,home,getting_out_of_bed,with pets,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,7AM,8AM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,8AM,9AM,kitchen,home,breakfast,with family,2,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,9AM,10AM,living_room,home,reading,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,10AM,11AM,living_room,home,listening_to_music,alone,0,1,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,11AM,12PM,garden,backyard,walking,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,12PM,1PM,dining_room,home,lunch,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,1PM,2PM,living_room,home,watching_tv,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,2PM,3PM,living_room,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,3PM,4PM,balcony,home,drinking_coffee,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,4PM,5PM,garden,backyard,gardening,with pets,0,2,clustered,clustered,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,5PM,6PM,kitchen,home,kitchen_cleaning,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,6PM,7PM,dining_room,home,dinner,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,7PM,8PM,living_room,home,socializing,with family,3,1,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,9PM,10PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,10PM,11PM,bathroom,home,showering,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,11PM,12AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,5,12AM,6AM,bedroom,home,sleeping,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,6AM,7AM,bedroom,home,getting_out_of_bed,with caregiver,1,0,clustered,clustered,noisy_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,7AM,8AM,bathroom,home,taking_medication,with caregiver,1,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,8AM,9AM,kitchen,home,breakfast,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,9AM,10AM,living_room,home,reading,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,10AM,11AM,living_room,home,meditating,alone,0,0,n/a,n/a,help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,11AM,12PM,garden,backyard,walking,with caregiver,1,1,sparse,sparse,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,12PM,1PM,dining_room,home,lunch,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,1PM,2PM,living_room,home,watching_tv,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,2PM,3PM,living_room,home,petting_an_animal,alone,0,1,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,3PM,4PM,laundry_room,home,vacuum_cleaning,alone,0,0,n/a,n/a,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,4PM,5PM,kitchen,home,cooking,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,5PM,6PM,dining_room,home,dinner,with caregiver,2,0,clustered,clustered,no_help
0824dd45-eaf9-429d-9a9b-61af94b11424,6,6PM,7PM,living_room,home,conversing,with caregiver,2,0,clustered,clustered,no_help
