user_id,day,start_time,end_time,room_type,spatial_context,activity,social_context,num_people_around,num_animals_around,group_radius,distance_of_people,human_response
aa0412dd-255f-42aa-b28c-982397793c68,1,6AM,7AM,bedroom,home,getting_out_of_bed,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,7AM,8AM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,8AM,9AM,kitchen,home,breakfast,with partner,1,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,1,9AM,10AM,home_office,smart home,doing_home_office,with robots,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,10AM,11AM,home_office,smart home,working_on_laptop,with robots,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,11AM,12PM,living_room,home,drinking_coffee,with partner,1,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,1,12PM,1PM,dining_room,home,lunch,with family,3,0,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,1,1PM,2PM,garden,backyard,gardening,alone,0,1,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,1,2PM,3PM,living_room,home,reading,alone,0,1,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,1,3PM,4PM,gym,home,exercising,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,1,4PM,5PM,laundry_room,home,laundry,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,1,5PM,6PM,kitchen,home,cooking,with partner,1,0,sparse,sparse,help
aa0412dd-255f-42aa-b28c-982397793c68,1,6PM,7PM,dining_room,home,dinner,with family,4,0,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,1,7PM,8PM,living_room,home,conversing,with family,3,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,1,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,1,9PM,10PM,bathroom,home,brushing_teeth,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,10PM,11PM,bedroom,home,sleeping_and_waking_up,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,11PM,12AM,bedroom,home,sleeping,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,1,12AM,6AM,bedroom,home,sleeping,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,6AM,7AM,bedroom,home,getting_out_of_bed,with one person,1,0,sparse,sparse,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,7AM,8AM,bathroom,home,brushing_teeth,with one person,1,0,sparse,sparse,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,8AM,9AM,kitchen,home,breakfast,with family,3,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,9AM,10AM,home_office,smart home,doing_home_office,with robots,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,10AM,11AM,home_office,smart home,working_on_laptop,with robots,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,11AM,12PM,gym,home,exercising,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,2,12PM,1PM,dining_room,home,lunch,with family,4,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,1PM,2PM,living_room,home,reading,alone,0,1,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,2,2PM,3PM,living_room,home,watching_tv,with one person,1,0,sparse,sparse,help
aa0412dd-255f-42aa-b28c-982397793c68,2,3PM,4PM,balcony,home,drinking_coffee,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,2,4PM,5PM,garden,backyard,gardening,with pets,0,2,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,5PM,6PM,kitchen,home,cooking,with family,3,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,6PM,7PM,dining_room,home,dinner,with family,4,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,7PM,8PM,living_room,home,socializing,with family,4,1,clustered,clustered,help
aa0412dd-255f-42aa-b28c-982397793c68,2,8PM,9PM,bedroom,home,reading,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,2,9PM,10PM,bedroom,home,meditating,alone,0,0,n/a,n/a,help
aa0412dd-255f-42aa-b28c-982397793c68,2,10PM,11PM,bathroom,home,showering,alone,0,0,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,11PM,12AM,bedroom,home,sleeping,with one person,1,1,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,2,12AM,6AM,bedroom,home,sleeping,with one person,1,1,n/a,n/a,no_help
aa0412dd-255f-42aa-b28c-982397793c68,3,6AM,7AM,bedroom,home,getting_out_of_bed,with one person,1,0,sparse,sparse,no_help
